recipe_id,name,meal_type,cuisine,regions,season,diet,goal_tags,weather_tags,ingredients
R021,Bottle Gourd Moong Dal,Lunch,Indian,North India,Summer;Monsoon,Vegan,general wellness;weight management,hot;rainy,Bottle gourd:180;Moong dal:80;Tomato:60;Onion:40;Coriander leaves:10
R022,Bhindi Roti Plate,Lunch,Indian,North India,Summer;Monsoon,Vegan,general wellness;better energy,hot;rainy,Okra:180;Whole wheat atta:80;Tomato:50;Onion:40;Mustard oil:5
R023,Mushroom Peas Masala with Roti,Lunch,Indian,North India,Winter;Monsoon,Vegan,general wellness;high protein,cold;rainy,Mushrooms:150;Green peas:80;Whole wheat atta:80;Tomato:60;Onion:40
R024,Lemon Rice with Peanuts,Lunch,Indian,South India,All,Vegan,better energy;general wellness,hot;mild,Basmati rice:130;Peanuts:20;Lemon:20;Green peas:50;Coriander leaves:10
R025,Masoor Dal Vegetable Bowl,Lunch,Indian,India,All,Vegan,high protein;weight management,hot;mild,Masoor dal:100;Carrot:60;Spinach:60;Tomato:60;Brown rice:100
R026,Pumpkin Coconut Dal,Dinner,Indian,South India,Monsoon;Winter,Vegan,general wellness,rainy;cold,Toor dal:90;Pumpkin:150;Coconut:20;Tomato:50;Onion:40
R027,Cauliflower Peas Curry with Roti,Dinner,Indian,North India,Winter,Vegan,general wellness;weight management,cold;mild,Cauliflower:150;Green peas:80;Whole wheat atta:80;Tomato:60;Onion:40
R028,Egg Curry with Rice,Dinner,Indian,India,All,Eggetarian,high protein;better energy,cold;mild,Egg:150;Basmati rice:120;Tomato:70;Onion:50;Spinach:40
R029,Chicken Vegetable Curry with Rice,Dinner,Indian,India,All,Non-vegetarian,high protein;better energy,cold;mild;rainy,Chicken breast:150;Basmati rice:120;Tomato:70;Onion:50;Bell pepper:60
R030,Fish Coconut Curry with Rice,Dinner,Indian,Coastal India,All,Non-vegetarian,high protein;general wellness,rainy;hot,Fish:150;Coconut milk:80;Basmati rice:120;Tomato:60;Onion:40
R031,Tofu Coconut Vegetable Curry,Dinner,Global,Global,All,Vegan,high protein;general wellness,rainy;hot,Tofu:150;Coconut milk:80;Broccoli:70;Carrot:60;Bell pepper:50
R032,Lentil Vegetable Soup,Dinner,Global,Global,All,Vegan,weight management;general wellness,cold;rainy,Masoor dal:90;Carrot:70;Tomato:80;Spinach:50;Onion:40
R033,Barley Mushroom Soup,Dinner,Global,Global,Winter;Monsoon,Vegan,weight management;general wellness,cold;rainy,Barley:70;Mushrooms:120;Carrot:60;Onion:40;Spinach:40
R034,Stuffed Bell Pepper with Quinoa,Dinner,Global,Global,All,Vegan,weight management;high protein,hot;mild,Bell pepper:150;Quinoa:90;Chickpeas:90;Tomato:60;Spinach:40
R035,Palak Tofu Rice Bowl,Dinner,Indian,India,Winter,Vegan,high protein;general wellness,cold;mild,Spinach:120;Tofu:150;Brown rice:120;Tomato:50;Garlic:5
R036,Sweet Potato Chickpea Chaat,Snack,Indian,India,Winter,Vegan,weight management;general wellness,cold;mild,Sweet potato:150;Chickpeas:80;Tomato:50;Onion:30;Lemon:15;Coriander leaves:10
R037,Guava Peanut Snack Bowl,Snack,Indian,India,Winter;Spring,Vegan,general wellness;better energy,hot;mild,Guava:150;Peanuts:15;Chia seeds:10
R038,Banana Almond Oat Bites,Snack,Global,Global,All,Vegan,better energy;general wellness,hot;mild,Banana:100;Oats:50;Almonds:15;Flax seeds:10
R039,Curd Cucumber Bowl,Snack,Indian,India,Summer;Monsoon,Vegetarian,general wellness;weight management,hot;rainy,Curd:180;Cucumber:100;Mint leaves:10;Coriander leaves:10
R040,Hummus Veggie Toast,Snack,Global,Global,All,Vegan,general wellness;weight management,hot;mild,Hummus:60;Whole wheat bread:70;Cucumber:50;Tomato:50;Bell pepper:40
R041,Roasted Chickpea Crunch,Snack,Global,Global,All,Vegan,high protein;better energy,hot;mild,Chickpeas:100;Pumpkin seeds:15;Lemon:10
R042,Mango Chia Yogurt Bowl,Snack,Indian,India,Summer,Vegetarian,general wellness;better energy,hot,Mango:120;Greek yogurt:150;Chia seeds:10
R043,Watermelon Mint Bowl,Snack,Indian,India,Summer,Vegan,general wellness,hot,Watermelon:250;Mint leaves:10;Lemon:10
R044,Papaya Chia Bowl,Snack,Indian,India,Summer;Monsoon,Vegan,general wellness;weight management,hot;rainy,Papaya:200;Chia seeds:10;Almonds:10
R045,Pomegranate Walnut Yogurt,Snack,Global,Global,Autumn;Winter,Vegetarian,general wellness;high protein,cold;mild,Pomegranate:150;Greek yogurt:150;Walnuts:10
